"titulo","descripcion","autor","avatar","fecha","likes","comentarios"
"Announcing Angular v20","The past couple of years have been transformative for Angular, as we’ve unleashed major advancements like reactivity with Signals and the…","Minko Gechev","https://miro.medium.com/v2/resize:fill:40:40/1*PC5hsShK0vnUFfFVoWjMNg.jpeg","May 28
2.6K
31",2.6,31
"Build AI-Powered Apps With Genkit and Angular","There has never been a better time to start building with AI and the state-of-the-art models available to developers everywhere. Building…","Angular","https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif","Mar 17
225
6",225,6
"Seamless data fetching with httpResource","Fantastic new APIs are coming to Angular. Two years ago, we proposed making Angular a reactive web framework powered by signals. Since…","Matthieu Riegler","https://miro.medium.com/v2/resize:fill:40:40/0*AlVzEVl10P09VRZx.jpg","Mar 7
548
8",548,8
"Angular 19.2 Is Now Available","And we’re back with Angular’s latest minor release, version 19.2, bringing new APIs and experimental features to empower developers on…","Angular","https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif","Mar 5
584
12",584,12
"Micro Frontends with Angular and Native Federation","Enterprise-scale software systems are often implemented by several cross-functional teams. To enable such teams to provide new features…","Manfred Steyer","https://miro.medium.com/v2/resize:fill:40:40/0*ie_F70F4bb0alhdm","Feb 10
659
11",659,11
"Angular 2025 Strategy","For the past two and a half years, we’ve been laser focused on improving developer experience and performance for all Angular developers…","Minko Gechev","https://miro.medium.com/v2/resize:fill:40:40/1*PC5hsShK0vnUFfFVoWjMNg.jpeg","Jan 13
1.4K
26",1.4,26
"Try Out the New Signal Input Migrations","Authors: Paul Gschwendtner Mark Thompson","Angular","https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif","Jan 9
359
3",359,3
"Meet Angular v19","In the past two years we doubled down on our investment in developer experience and performance — in every single release we’ve been…","Minko Gechev","https://miro.medium.com/v2/resize:fill:40:40/1*PC5hsShK0vnUFfFVoWjMNg.jpeg","Nov 19, 2024
3.7K
59",3.7,59
"Angular v19 Release: Join the Watch Parties!","The Angular v19 release is just around the corner, and developers around the world are gearing up to celebrate.","Angular","https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif","Nov 14, 2024
266
3",266,3
"Latest updates to effect() in Angular","Authors: Alex Rickabaugh Mark Thompson","Angular","https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif","Oct 7, 2024
640
1",640,1